datetime,cloud_frac,obscured_frac,cloud_base_m,n_minutes
2022-11-01 00:00:00,0.0,0.0,,360
2022-11-01 06:00:00,0.044,0.0,8340.0,360
2022-11-01 12:00:00,0.258,0.0,8470.0,360
2022-11-01 18:00:00,0.628,0.0,5745.0,360
2022-11-02 00:00:00,0.728,0.0,3520.0,360
2022-11-02 06:00:00,0.578,0.0,4810.0,360
2022-11-02 12:00:00,0.181,0.0,7270.0,360
2022-11-02 18:00:00,0.147,0.0,2620.0,360
2022-11-03 00:00:00,0.603,0.0,4460.0,360
2022-11-03 06:00:00,1.0,0.125,550.0,360
2022-11-03 12:00:00,0.989,0.061,900.0,360
2022-11-03 18:00:00,0.989,0.081,690.0,360
2022-11-04 00:00:00,0.936,0.05,1040.0,360
2022-11-04 06:00:00,0.961,0.0,1380.0,360
2022-11-04 12:00:00,0.678,0.047,1270.0,360
2022-11-04 18:00:00,0.311,0.003,1095.0,360
2022-11-05 00:00:00,1.0,0.0,1000.0,360
2022-11-05 06:00:00,1.0,0.014,915.0,360
2022-11-05 12:00:00,1.0,0.003,740.0,360
2022-11-05 18:00:00,1.0,0.006,870.0,360
2022-11-06 00:00:00,1.0,0.053,920.0,360
2022-11-06 06:00:00,0.828,0.0,1100.0,301
2022-11-06 12:00:00,1.0,0.0,1050.0,360
2022-11-06 18:00:00,1.0,0.0,730.0,360
2022-11-07 00:00:00,0.228,0.0,1925.0,360
2022-11-07 06:00:00,0.936,0.0,1980.0,360
2022-11-07 12:00:00,0.553,0.0,2020.0,360
2022-11-07 18:00:00,0.219,0.0,2430.0,360
2022-11-08 00:00:00,0.928,0.0,7830.0,360
2022-11-08 06:00:00,0.283,0.0,8575.0,360
2022-11-08 12:00:00,0.169,0.0,8100.0,360
2022-11-08 18:00:00,0.0,0.0,,360
2022-11-09 00:00:00,0.0,0.0,,360
2022-11-09 06:00:00,0.519,0.0,9360.0,360
2022-11-09 12:00:00,0.833,0.0,7715.0,360
2022-11-09 18:00:00,0.464,0.019,2490.0,360
2022-11-10 00:00:00,1.0,0.567,490.0,360
2022-11-10 06:00:00,1.0,0.1,540.0,360
2022-11-10 12:00:00,0.778,0.111,670.0,360
2022-11-10 18:00:00,0.778,0.003,1135.0,360
2022-11-11 00:00:00,0.831,0.017,1110.0,360
2022-11-11 06:00:00,0.0,0.0,,360
2022-11-11 12:00:00,0.0,0.0,,360
2022-11-11 18:00:00,0.0,0.0,,360
2022-11-12 00:00:00,0.0,0.0,,360
2022-11-12 06:00:00,0.031,0.0,7840.0,360
2022-11-12 12:00:00,0.672,0.0,6000.0,360
2022-11-12 18:00:00,0.892,0.0,5500.0,360
2022-11-13 00:00:00,0.256,0.0,5135.0,360
2022-11-13 06:00:00,0.0,0.0,,360
2022-11-13 12:00:00,0.597,0.0,4750.0,360
2022-11-13 18:00:00,0.583,0.0,2050.0,360
2022-11-14 00:00:00,0.172,0.0,1405.0,360
2022-11-14 06:00:00,0.0,0.0,,360
2022-11-14 12:00:00,0.758,0.025,1040.0,360
2022-11-14 18:00:00,0.869,0.0,1150.0,360
2022-11-15 00:00:00,0.983,0.006,1010.0,360
2022-11-15 06:00:00,0.961,0.0,1130.0,360
2022-11-15 12:00:00,0.719,0.003,1310.0,360
2022-11-15 18:00:00,0.756,0.0,1580.0,360
2022-11-16 00:00:00,0.0,0.0,,360
2022-11-16 06:00:00,0.203,0.0,4740.0,360
2022-11-16 12:00:00,0.853,0.0,900.0,360
2022-11-16 18:00:00,0.072,0.0,1110.0,360
2022-11-17 00:00:00,0.0,0.0,,360
2022-11-17 06:00:00,0.314,0.0,5790.0,360
2022-11-17 12:00:00,0.0,0.0,,360
2022-11-17 18:00:00,0.0,0.0,,360
2022-11-18 00:00:00,0.742,0.0,4830.0,360
2022-11-18 06:00:00,1.0,0.022,3025.0,360
2022-11-18 12:00:00,0.997,0.069,1320.0,360
2022-11-18 18:00:00,0.544,0.003,1230.0,360
2022-11-19 00:00:00,0.0,0.0,,360
2022-11-19 06:00:00,0.0,0.0,,360
2022-11-19 12:00:00,0.003,0.0,8330.0,360
2022-11-19 18:00:00,0.0,0.0,,360
2022-11-20 00:00:00,0.0,0.0,,360
2022-11-20 06:00:00,0.0,0.0,,360
2022-11-20 12:00:00,0.0,0.0,,360
2022-11-20 18:00:00,0.006,0.0,8380.0,360
2022-11-21 00:00:00,0.0,0.0,,360
2022-11-21 06:00:00,0.0,0.0,,360
2022-11-21 12:00:00,0.0,0.0,,360
2022-11-21 18:00:00,0.506,0.0,8260.0,360
2022-11-22 00:00:00,0.706,0.0,7090.0,360
2022-11-22 06:00:00,0.036,0.0,5050.0,360
2022-11-22 12:00:00,0.558,0.0,7560.0,360
2022-11-22 18:00:00,0.675,0.003,6920.0,360
2022-11-23 00:00:00,0.2,0.0,7185.0,360
2022-11-23 06:00:00,0.0,0.0,,360
2022-11-23 12:00:00,0.1,0.0,4530.0,360
2022-11-23 18:00:00,0.928,0.0,2370.0,360
2022-11-24 00:00:00,1.0,0.058,990.0,360
2022-11-24 06:00:00,0.992,0.0,940.0,360
2022-11-24 12:00:00,0.456,0.0,580.0,360
2022-11-24 18:00:00,0.0,0.0,,360
2022-11-25 00:00:00,0.15,0.0,8335.0,360
2022-11-25 06:00:00,0.372,0.0,8485.0,360
2022-11-25 12:00:00,0.283,0.0,8140.0,360
2022-11-25 18:00:00,0.003,0.0,7410.0,360
2022-11-26 00:00:00,0.003,0.0,8400.0,360
2022-11-26 06:00:00,0.0,0.0,,360
2022-11-26 12:00:00,0.175,0.0,7690.0,360
2022-11-26 18:00:00,0.772,0.0,5675.0,360
2022-11-27 00:00:00,1.0,0.031,2005.0,360
2022-11-27 06:00:00,1.0,0.189,1155.0,360
2022-11-27 12:00:00,0.906,0.0,1080.0,360
2022-11-27 18:00:00,0.697,0.0,3160.0,360
2022-11-28 00:00:00,1.0,0.0,1860.0,360
2022-11-28 06:00:00,0.672,0.0,1900.0,360
2022-11-28 12:00:00,0.978,0.0,1970.0,360
2022-11-28 18:00:00,1.0,0.0,2140.0,360
2022-11-29 00:00:00,1.0,0.272,140.0,360
2022-11-29 06:00:00,1.0,0.181,165.0,360
2022-11-29 12:00:00,1.0,0.408,320.0,360
2022-11-29 18:00:00,0.953,0.147,290.0,360
2022-11-30 00:00:00,0.103,0.0,960.0,360
2022-11-30 06:00:00,0.553,0.0,1470.0,360
2022-11-30 12:00:00,0.0,0.0,,360
2022-11-30 18:00:00,0.0,0.0,,290
2022-12-01 00:00:00,0.0,0.0,,360
2022-12-01 06:00:00,0.483,0.0,1550.0,360
2022-12-01 12:00:00,0.003,0.0,8270.0,360
2022-12-01 18:00:00,0.336,0.0,4700.0,360
2022-12-02 00:00:00,1.0,0.0,2135.0,360
2022-12-02 06:00:00,1.0,0.153,1315.0,360
2022-12-02 12:00:00,1.0,0.381,325.0,360
2022-12-02 18:00:00,1.0,0.094,340.0,360
2022-12-03 00:00:00,0.728,0.0,1300.0,360
2022-12-03 06:00:00,0.764,0.0,4320.0,360
2022-12-03 12:00:00,1.0,0.044,2275.0,360
2022-12-03 18:00:00,1.0,0.056,1060.0,360
2022-12-04 00:00:00,1.0,0.0,1065.0,360
2022-12-04 06:00:00,1.0,0.0,1210.0,360
2022-12-04 12:00:00,0.839,0.0,7740.0,360
2022-12-04 18:00:00,0.958,0.0,1360.0,360
2022-12-05 00:00:00,0.992,0.006,1440.0,360
2022-12-05 06:00:00,0.997,0.036,1040.0,360
2022-12-05 12:00:00,1.0,0.078,920.0,360
2022-12-05 18:00:00,1.0,0.003,1230.0,360
2022-12-06 00:00:00,1.0,0.0,1390.0,360
2022-12-06 06:00:00,1.0,0.131,620.0,360
2022-12-06 12:00:00,1.0,0.392,130.0,360
2022-12-06 18:00:00,1.0,0.053,715.0,360
2022-12-07 00:00:00,1.0,0.389,615.0,360
2022-12-07 06:00:00,1.0,0.258,515.0,360
2022-12-07 12:00:00,0.264,0.025,1100.0,95
2022-12-07 18:00:00,,,,0
2022-12-08 00:00:00,0.644,0.003,880.0,232
2022-12-08 06:00:00,1.0,0.203,580.0,360
2022-12-08 12:00:00,1.0,0.133,575.0,360
2022-12-08 18:00:00,0.244,0.003,735.0,360
2022-12-09 00:00:00,0.0,0.0,,360
2022-12-09 06:00:00,0.028,0.0,4160.0,360
2022-12-09 12:00:00,0.911,0.0,3240.0,360
2022-12-09 18:00:00,0.572,0.014,1000.0,360
2022-12-10 00:00:00,0.017,0.0,1255.0,360
2022-12-10 06:00:00,0.0,0.0,,360
2022-12-10 12:00:00,0.0,0.0,,360
2022-12-10 18:00:00,0.278,0.0,7970.0,360
2022-12-11 00:00:00,0.617,0.0,3305.0,360
2022-12-11 06:00:00,0.108,0.0,3100.0,360
2022-12-11 12:00:00,0.303,0.0,3570.0,360
2022-12-11 18:00:00,0.231,0.0,6240.0,360
2022-12-12 00:00:00,1.0,0.0,4510.0,360
2022-12-12 06:00:00,1.0,0.0,3300.0,360
2022-12-12 12:00:00,1.0,0.0,1280.0,360
2022-12-12 18:00:00,1.0,0.006,1260.0,360
2022-12-13 00:00:00,1.0,0.175,640.0,360
2022-12-13 06:00:00,1.0,0.139,600.0,360
2022-12-13 12:00:00,1.0,0.05,600.0,360
2022-12-13 18:00:00,1.0,0.05,865.0,360
2022-12-14 00:00:00,1.0,0.067,410.0,360
2022-12-14 06:00:00,1.0,0.025,530.0,360
2022-12-14 12:00:00,1.0,0.003,920.0,360
2022-12-14 18:00:00,1.0,0.0,920.0,360
2022-12-15 00:00:00,,,,0
2022-12-15 06:00:00,,,,0
2022-12-15 12:00:00,,,,0
2022-12-15 18:00:00,,,,0
