datetime,le_wm2,subl_mm_day,n_halfhours
2022-11-01 00:00:00,1.8143,0.0552,7
2022-11-01 06:00:00,-1.8545,-0.0565,11
2022-11-01 12:00:00,5.5,0.1674,11
2022-11-01 18:00:00,35.8167,1.0904,12
2022-11-02 00:00:00,0.7875,0.024,8
2022-11-02 06:00:00,-2.44,-0.0743,10
2022-11-02 12:00:00,18.26,0.5559,10
2022-11-02 18:00:00,86.1583,2.623,12
2022-11-03 00:00:00,9.4182,0.2867,11
2022-11-03 06:00:00,10.3111,0.3139,9
2022-11-03 12:00:00,,,0
2022-11-03 18:00:00,69.95,2.1296,6
2022-11-04 00:00:00,10.6,0.3227,1
2022-11-04 06:00:00,-2.25,-0.0685,6
2022-11-04 12:00:00,11.3143,0.3445,7
2022-11-04 18:00:00,35.6583,1.0856,12
2022-11-05 00:00:00,19.0833,0.581,12
2022-11-05 06:00:00,-3.7333,-0.1137,9
2022-11-05 12:00:00,14.45,0.4399,10
2022-11-05 18:00:00,31.2083,0.9501,12
2022-11-06 00:00:00,35.3917,1.0775,12
2022-11-06 06:00:00,45.06,1.3718,10
2022-11-06 12:00:00,7.3778,0.2246,9
2022-11-06 18:00:00,7.61,0.2317,10
2022-11-07 00:00:00,-18.88,-0.5748,5
2022-11-07 06:00:00,-7.9222,-0.2412,9
2022-11-07 12:00:00,9.6,0.2923,10
2022-11-07 18:00:00,45.6083,1.3885,12
2022-11-08 00:00:00,16.13,0.4911,10
2022-11-08 06:00:00,1.1545,0.0351,11
2022-11-08 12:00:00,18.46,0.562,10
2022-11-08 18:00:00,104.5727,3.1836,11
2022-11-09 00:00:00,15.9818,0.4866,11
2022-11-09 06:00:00,11.41,0.3474,10
2022-11-09 12:00:00,50.0583,1.524,12
2022-11-09 18:00:00,112.7,3.431,11
2022-11-10 00:00:00,43.4222,1.3219,9
2022-11-10 06:00:00,23.67,0.7206,10
2022-11-10 12:00:00,10.08,0.3069,10
2022-11-10 18:00:00,20.4222,0.6217,9
2022-11-11 00:00:00,0.275,0.0084,8
2022-11-11 06:00:00,-4.2875,-0.1305,8
2022-11-11 12:00:00,7.1,0.2162,9
2022-11-11 18:00:00,39.1,1.1904,9
2022-11-12 00:00:00,1.5111,0.046,9
2022-11-12 06:00:00,4.85,0.1477,8
2022-11-12 12:00:00,6.0375,0.1838,8
2022-11-12 18:00:00,26.3818,0.8032,11
2022-11-13 00:00:00,5.2,0.1583,7
2022-11-13 06:00:00,1.01,0.0307,10
2022-11-13 12:00:00,5.5667,0.1695,9
2022-11-13 18:00:00,56.075,1.7071,12
2022-11-14 00:00:00,4.77,0.1452,10
2022-11-14 06:00:00,-3.2667,-0.0995,9
2022-11-14 12:00:00,12.025,0.3661,8
2022-11-14 18:00:00,65.7833,2.0027,12
2022-11-15 00:00:00,12.1909,0.3711,11
2022-11-15 06:00:00,2.475,0.0753,8
2022-11-15 12:00:00,23.47,0.7145,10
2022-11-15 18:00:00,53.0417,1.6148,12
2022-11-16 00:00:00,4.04,0.123,10
2022-11-16 06:00:00,2.3,0.07,8
2022-11-16 12:00:00,14.0875,0.4289,8
2022-11-16 18:00:00,43.625,1.3281,12
2022-11-17 00:00:00,2.3636,0.072,11
2022-11-17 06:00:00,-0.8222,-0.025,9
2022-11-17 12:00:00,8.4091,0.256,11
2022-11-17 18:00:00,32.3833,0.9859,12
2022-11-18 00:00:00,7.9333,0.2415,12
2022-11-18 06:00:00,6.5909,0.2007,11
2022-11-18 12:00:00,17.7727,0.5411,11
2022-11-18 18:00:00,40.65,1.2375,12
2022-11-19 00:00:00,0.8333,0.0254,9
2022-11-19 06:00:00,1.975,0.0601,4
2022-11-19 12:00:00,13.1,0.3988,9
2022-11-19 18:00:00,24.9417,0.7593,12
2022-11-20 00:00:00,2.3091,0.0703,11
2022-11-20 06:00:00,1.1875,0.0362,8
2022-11-20 12:00:00,5.73,0.1744,10
2022-11-20 18:00:00,32.275,0.9826,12
2022-11-21 00:00:00,5.71,0.1738,10
2022-11-21 06:00:00,-1.0,-0.0304,8
2022-11-21 12:00:00,7.21,0.2195,10
2022-11-21 18:00:00,30.81,0.938,10
2022-11-22 00:00:00,-2.58,-0.0785,10
2022-11-22 06:00:00,-0.1778,-0.0054,9
2022-11-22 12:00:00,11.1111,0.3383,9
2022-11-22 18:00:00,26.0667,0.7936,12
2022-11-23 00:00:00,-0.6222,-0.0189,9
2022-11-23 06:00:00,-0.475,-0.0145,8
2022-11-23 12:00:00,13.3636,0.4068,11
2022-11-23 18:00:00,22.7667,0.6931,9
2022-11-24 00:00:00,13.4,0.4079,10
2022-11-24 06:00:00,14.6,0.4445,5
2022-11-24 12:00:00,24.4455,0.7442,11
2022-11-24 18:00:00,41.35,1.2589,12
2022-11-25 00:00:00,3.19,0.0971,10
2022-11-25 06:00:00,1.65,0.0502,6
2022-11-25 12:00:00,8.6091,0.2621,11
2022-11-25 18:00:00,29.62,0.9018,10
2022-11-26 00:00:00,-5.2375,-0.1595,8
2022-11-26 06:00:00,-1.5455,-0.047,11
2022-11-26 12:00:00,13.44,0.4092,10
2022-11-26 18:00:00,26.7167,0.8134,12
2022-11-27 00:00:00,8.1667,0.2486,9
2022-11-27 06:00:00,-0.5375,-0.0164,8
2022-11-27 12:00:00,26.5333,0.8078,12
2022-11-27 18:00:00,42.3833,1.2903,12
2022-11-28 00:00:00,6.5556,0.1996,9
2022-11-28 06:00:00,5.3875,0.164,8
2022-11-28 12:00:00,8.1909,0.2494,11
2022-11-28 18:00:00,40.7636,1.241,11
2022-11-29 00:00:00,6.825,0.2078,8
2022-11-29 06:00:00,23.5364,0.7165,11
2022-11-29 12:00:00,19.7273,0.6006,11
2022-11-29 18:00:00,21.81,0.664,10
2022-11-30 00:00:00,-0.0889,-0.0027,9
2022-11-30 06:00:00,0.3333,0.0101,9
2022-11-30 12:00:00,-0.3667,-0.0112,6
2022-11-30 18:00:00,2.3125,0.0704,8
2022-12-01 00:00:00,0.8333,0.0254,9
2022-12-01 06:00:00,-3.01,-0.0916,10
2022-12-01 12:00:00,0.4143,0.0126,7
2022-12-01 18:00:00,14.18,0.4317,10
2022-12-02 00:00:00,44.74,1.3621,10
2022-12-02 06:00:00,34.2364,1.0423,11
2022-12-02 12:00:00,35.11,1.0689,10
2022-12-02 18:00:00,49.5833,1.5095,12
2022-12-03 00:00:00,18.1,0.551,9
2022-12-03 06:00:00,0.4286,0.013,7
2022-12-03 12:00:00,-7.775,-0.2367,8
2022-12-03 18:00:00,4.15,0.1263,6
2022-12-04 00:00:00,1.3778,0.0419,9
2022-12-04 06:00:00,-0.775,-0.0236,8
2022-12-04 12:00:00,-10.51,-0.32,10
2022-12-04 18:00:00,0.7375,0.0225,8
2022-12-05 00:00:00,4.2667,0.1299,6
2022-12-05 06:00:00,-0.88,-0.0268,10
2022-12-05 12:00:00,38.28,1.1654,5
2022-12-05 18:00:00,9.1,0.277,1
2022-12-06 00:00:00,8.4625,0.2576,8
2022-12-06 06:00:00,33.0667,1.0067,12
2022-12-06 12:00:00,11.92,0.3629,10
2022-12-06 18:00:00,21.4889,0.6542,9
2022-12-07 00:00:00,-29.18,-0.8884,5
2022-12-07 06:00:00,,,0
2022-12-07 12:00:00,4.6,0.14,2
2022-12-07 18:00:00,3.4,0.1035,7
2022-12-08 00:00:00,0.7,0.0213,10
2022-12-08 06:00:00,11.9667,0.3643,9
2022-12-08 12:00:00,19.7778,0.6021,9
2022-12-08 18:00:00,18.9364,0.5765,11
2022-12-09 00:00:00,0.6857,0.0209,7
2022-12-09 06:00:00,-0.3,-0.0091,6
2022-12-09 12:00:00,1.3909,0.0423,11
2022-12-09 18:00:00,-5.8111,-0.1769,9
2022-12-10 00:00:00,-5.62,-0.1711,10
2022-12-10 06:00:00,0.2429,0.0074,7
2022-12-10 12:00:00,-0.3444,-0.0105,9
2022-12-10 18:00:00,0.9909,0.0302,11
2022-12-11 00:00:00,-8.8,-0.2679,12
2022-12-11 06:00:00,-1.6833,-0.0512,6
2022-12-11 12:00:00,-0.79,-0.0241,10
2022-12-11 18:00:00,5.7625,0.1754,8
2022-12-12 00:00:00,-14.29,-0.435,10
2022-12-12 06:00:00,6.8833,0.2096,6
2022-12-12 12:00:00,8.2818,0.2521,11
2022-12-12 18:00:00,19.48,0.593,10
2022-12-13 00:00:00,27.525,0.838,12
2022-12-13 06:00:00,6.7333,0.205,12
2022-12-13 12:00:00,9.02,0.2746,10
2022-12-13 18:00:00,26.425,0.8045,12
2022-12-14 00:00:00,10.81,0.3291,10
2022-12-14 06:00:00,10.3455,0.315,11
2022-12-14 12:00:00,12.7727,0.3889,11
2022-12-14 18:00:00,22.2364,0.677,11
2022-12-15 00:00:00,-2.1429,-0.0652,7
2022-12-15 06:00:00,-0.0571,-0.0017,7
2022-12-15 12:00:00,-0.6,-0.0183,7
2022-12-15 18:00:00,21.26,0.6472,10
2022-12-16 00:00:00,8.6909,0.2646,11
2022-12-16 06:00:00,-1.5182,-0.0462,11
2022-12-16 12:00:00,3.2222,0.0981,9
2022-12-16 18:00:00,8.4,0.2557,11
2022-12-17 00:00:00,-2.1583,-0.0657,12
2022-12-17 06:00:00,4.3,0.1309,6
2022-12-17 12:00:00,0.37,0.0113,10
2022-12-17 18:00:00,1.2778,0.0389,9
2022-12-18 00:00:00,-1.13,-0.0344,10
2022-12-18 06:00:00,2.8111,0.0856,9
2022-12-18 12:00:00,1.15,0.035,10
2022-12-18 18:00:00,1.1,0.0335,4
2022-12-19 00:00:00,-1.96,-0.0597,10
2022-12-19 06:00:00,-2.1,-0.0639,10
2022-12-19 12:00:00,-0.0667,-0.002,9
2022-12-19 18:00:00,3.89,0.1184,10
2022-12-20 00:00:00,-0.625,-0.019,8
2022-12-20 06:00:00,2.0857,0.0635,7
2022-12-20 12:00:00,1.125,0.0342,8
2022-12-20 18:00:00,1.9818,0.0603,11
2022-12-21 00:00:00,9.1778,0.2794,9
2022-12-21 06:00:00,-48.2,-1.4674,1
2022-12-21 12:00:00,12.92,0.3933,10
2022-12-21 18:00:00,36.6333,1.1153,12
2022-12-22 00:00:00,80.3333,2.4457,9
2022-12-22 06:00:00,132.0583,4.0204,12
2022-12-22 12:00:00,79.3889,2.4169,9
