datetime,snow_depth_cm,skin_temp_C,air_temp_C,lw_down_wm2,lw_up_wm2,bulk_hl_wm2
2022-11-01 00:00:00,14.269,-6.37,-1.569,218.122,286.24,1.77
2022-11-01 06:00:00,14.931,-10.158,-5.165,209.557,270.328,-1.765
2022-11-01 12:00:00,14.777,-5.795,-1.963,212.489,289.293,0.043
2022-11-01 18:00:00,14.481,1.973,7.214,253.133,323.877,12.971
2022-11-02 00:00:00,14.175,-4.063,-0.445,247.27,296.539,3.877
2022-11-02 06:00:00,14.866,-8.079,-3.299,221.615,279.061,-0.413
2022-11-02 12:00:00,15.145,-4.038,-0.112,215.342,296.756,16.439
2022-11-02 18:00:00,17.401,2.919,7.178,233.448,328.014,53.667
2022-11-03 00:00:00,19.528,-4.273,2.141,236.148,295.475,0.887
2022-11-03 06:00:00,19.489,-2.084,-0.757,299.486,306.022,2.891
2022-11-03 12:00:00,19.041,-2.528,-1.361,308.802,304.196,2.148
2022-11-03 18:00:00,18.168,-3.549,-2.595,303.044,299.674,3.381
2022-11-04 00:00:00,19.43,-6.622,-4.951,287.555,278.743,-0.493
2022-11-04 06:00:00,19.226,-12.679,-8.803,271.611,258.836,-2.164
2022-11-04 12:00:00,19.074,-9.403,-7.822,279.177,274.567,10.492
2022-11-04 18:00:00,16.46,-7.741,-6.11,211.289,280.45,37.08
2022-11-05 00:00:00,16.138,-8.548,-5.768,246.441,277.514,17.404
2022-11-05 06:00:00,16.163,-7.947,-7.179,267.39,280.315,3.019
2022-11-05 12:00:00,15.481,-5.323,-5.281,287.195,291.79,7.089
2022-11-05 18:00:00,15.675,-1.983,-0.235,296.81,306.429,16.247
2022-11-06 00:00:00,15.438,-2.769,0.087,282.02,302.722,16.983
2022-11-06 06:00:00,14.999,-2.391,0.675,291.18,304.534,9.597
2022-11-06 12:00:00,14.644,-1.865,-0.019,297.951,306.997,2.545
2022-11-06 18:00:00,15.068,-0.205,0.786,318.346,314.755,3.397
2022-11-07 00:00:00,14.754,-7.848,-2.842,283.234,281.01,-3.911
2022-11-07 06:00:00,14.666,-5.857,-2.013,293.837,289.541,-0.286
2022-11-07 12:00:00,14.596,-2.048,3.299,277.229,306.111,4.778
2022-11-07 18:00:00,16.923,2.389,8.535,252.054,325.741,25.059
2022-11-08 00:00:00,17.168,-4.158,2.264,228.321,295.955,6.202
2022-11-08 06:00:00,17.982,-8.135,-1.776,216.72,278.739,-0.165
2022-11-08 12:00:00,18.36,-3.244,1.189,222.422,300.404,12.883
2022-11-08 18:00:00,20.126,4.08,8.958,232.789,333.502,81.451
2022-11-09 00:00:00,20.691,-3.648,3.781,220.427,297.986,3.475
2022-11-09 06:00:00,20.084,-4.173,2.589,220.614,295.659,6.804
2022-11-09 12:00:00,19.453,-0.058,3.779,226.071,314.419,83.944
2022-11-09 18:00:00,,4.933,5.963,253.639,338.106,134.757
2022-11-10 00:00:00,29.969,-5.765,-5.788,285.951,289.79,5.782
2022-11-10 06:00:00,27.851,-9.034,-7.521,278.412,275.952,3.98
2022-11-10 12:00:00,26.409,-9.92,-7.979,281.255,272.048,1.628
2022-11-10 18:00:00,23.574,-7.596,-6.067,282.548,282.096,11.753
2022-11-11 00:00:00,46.657,-15.299,-10.646,233.966,250.606,-1.267
2022-11-11 06:00:00,46.278,-20.969,-14.866,197.395,228.902,-1.766
2022-11-11 12:00:00,45.65,-14.864,-12.267,204.176,252.732,5.418
2022-11-11 18:00:00,24.024,-4.659,-5.39,189.973,293.458,27.547
2022-11-12 00:00:00,27.68,-14.873,-11.373,172.834,251.224,-1.022
2022-11-12 06:00:00,25.411,-19.045,-15.967,160.826,235.274,-1.402
2022-11-12 12:00:00,23.703,-12.606,-12.635,176.566,261.078,6.385
2022-11-12 18:00:00,23.019,-0.641,-0.613,212.345,311.388,25.497
2022-11-13 00:00:00,21.581,-11.166,-8.306,183.967,265.943,2.052
2022-11-13 06:00:00,27.823,-14.998,-12.17,175.183,250.675,0.665
2022-11-13 12:00:00,27.3,-8.33,-8.369,198.867,278.718,15.104
2022-11-13 18:00:00,21.134,2.298,0.451,221.727,325.18,62.328
2022-11-14 00:00:00,20.995,-6.527,-4.152,206.969,285.353,8.414
2022-11-14 06:00:00,25.965,-10.718,-8.746,186.907,267.776,1.408
2022-11-14 12:00:00,27.603,-7.648,-9.02,236.156,281.671,9.816
2022-11-14 18:00:00,,-1.933,-5.228,237.705,306.057,77.014
2022-11-15 00:00:00,16.786,-8.332,-8.218,229.163,278.162,14.236
2022-11-15 06:00:00,28.377,-12.132,-11.925,204.479,262.33,1.027
2022-11-15 12:00:00,31.398,-8.352,-10.776,201.907,278.845,25.888
2022-11-15 18:00:00,14.647,-1.029,-8.14,191.228,305.416,102.057
2022-11-16 00:00:00,22.252,-17.528,-13.595,153.634,253.238,0.266
2022-11-16 06:00:00,25.644,-18.262,-17.695,159.307,238.136,0.91
2022-11-16 12:00:00,,-10.202,-13.043,189.53,270.932,35.324
2022-11-16 18:00:00,,-0.935,-5.443,187.921,310.074,85.211
2022-11-17 00:00:00,25.601,-13.108,-11.549,172.448,258.068,3.563
2022-11-17 06:00:00,25.189,-16.836,-14.444,174.106,243.665,-0.024
2022-11-17 12:00:00,27.731,-9.891,-11.409,180.865,272.456,16.527
2022-11-17 18:00:00,22.145,-0.151,-3.52,191.491,313.58,107.926
2022-11-18 00:00:00,21.755,-10.269,-7.628,198.971,269.739,3.641
2022-11-18 06:00:00,22.508,-10.255,-9.481,234.228,270.318,2.776
2022-11-18 12:00:00,23.273,-5.551,-7.872,253.994,290.7,26.112
