window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.22356802365548872,0.04704632740870846,0.04764085560087897,0.13616699957763934,0.17959205138796708,0.0025,True,True,2000,1.739611917239612,12.851603362791561,7.827435431329242
1,2022-12-06 06:00:00,0.23517598128421746,0.05071562985111851,0.048613761068591554,0.13998857659911246,0.1889994465215567,0.0015,True,True,2000,1.7462509776549062,13.467478861488882,8.016521015043748
2,2022-12-06 12:00:00,0.22570156791663867,0.04989177553925746,0.047871797450877045,0.13990259991357973,0.1794517276883808,0.0015,True,True,2000,1.7596936146722082,12.826185537911488,7.950395384007828
3,2022-12-06 18:00:00,0.22953838618020464,0.047980094950794236,0.0471489768565362,0.1366297435884256,0.17903351957275573,0.0015,True,True,2000,1.7681285425182933,12.981996538174759,7.727364855149496
4,2022-12-07 00:00:00,0.23175127334944212,0.04954622025687887,0.04663354880279868,0.1375578774702341,0.17364727906415392,0.001,True,True,2000,1.7773587493391956,13.039082483241213,7.7394548242653185
5,2022-12-07 06:00:00,0.24075504061815195,0.04934091023747189,0.04786910087996983,0.13954706583090398,0.18763177819641774,0.0005,True,True,2000,1.7631765229927991,13.654619232877296,7.914526084662136
6,2022-12-07 12:00:00,0.23346819931395088,0.04704146652498665,0.04697618547162229,0.13754120468413975,0.17623976551419498,0.0015,True,True,2000,1.7599708085100965,13.265458619259341,7.814970794917631
7,2022-12-07 18:00:00,0.21951259876216264,0.044795080694160855,0.04499306135282189,0.13283969758842745,0.1734383898791912,0.0,True,True,2000,1.7655119779842945,12.433367855865963,7.524145927352591
8,2022-12-08 00:00:00,0.21487906296640188,0.041274202381537846,0.044071859778278516,0.1250206201793709,0.16788104875698978,0.001,True,True,2000,1.748136694298689,12.291891341632542,7.151650130513748
9,2022-12-08 06:00:00,0.20959214917481878,0.04373747722897464,0.04546551221308086,0.13461491991142707,0.17003655286493788,0.003,True,True,2000,1.7587618640285485,11.917028306193513,7.65395945094486
10,2022-12-08 12:00:00,0.2120760427713598,0.04191289246051284,0.04427183488906394,0.12925711656586986,0.1773642247353988,0.0015,True,True,2000,1.7898373154000264,11.848900508813063,7.221724312803316
11,2022-12-08 18:00:00,0.21053421993547983,0.045987610317250543,0.04650052739417785,0.1342435281022132,0.1810196829519669,0.0025,True,True,2000,1.7903276356523354,11.75953583818574,7.4982659837733765
12,2022-12-09 00:00:00,0.19218713778402452,0.04484143354664746,0.044104658447028065,0.12934282367715946,0.17263242183547975,0.0035,True,True,2000,1.7780973438416905,10.80858359356143,7.274226246674786
13,2022-12-09 06:00:00,0.1891658037595984,0.04222522428772666,0.043331187790602466,0.12490253167805626,0.1684144949309728,0.0025,True,True,2000,1.7602493004540287,10.746534806791631,7.095729658625037
14,2022-12-09 12:00:00,0.18343979412875785,0.04092968207472126,0.042752953939517155,0.12166247078248715,0.16289513735422734,0.004,True,True,2000,1.7494082203902828,10.48581983271083,6.954492917344641
15,2022-12-09 18:00:00,0.19710619654683567,0.03926069644876676,0.04164246634345068,0.1186414045600202,0.15404486190385067,0.002,True,True,2000,1.7272572958094856,11.411513329544867,6.868774261243948
