window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.1645892174148633,0.05016250853732765,0.04681130491688456,0.1393759188227363,0.1792332379007767,0.02,True,False,2000,1.739611917239612,9.461260628521721,8.011897219231273
1,2022-12-06 06:00:00,0.1707032031229747,0.047841673767114457,0.04627530982144468,0.13505277315250586,0.17072394693635232,0.01,True,False,2000,1.7462509776549062,9.77541059717643,7.733869580068746
2,2022-12-06 12:00:00,0.17073080928399975,0.046337055549918356,0.046462673929769986,0.13527837735525786,0.17533950912503551,0.0135,True,False,2000,1.7596936146722082,9.702303165758948,7.687609719516838
3,2022-12-06 18:00:00,0.18156169806334457,0.04783195979249026,0.04767196148643822,0.13828113344724058,0.18295999731349616,0.0115,True,False,2000,1.7681285425182933,10.268580235956804,7.8207624684510115
4,2022-12-07 00:00:00,0.172383604142663,0.04751953507893687,0.04547875715876184,0.13517577741895997,0.16689084930939094,0.007,True,True,2000,1.7773587493391956,9.698863789133933,7.6054301062864775
5,2022-12-07 06:00:00,0.15538280290515205,0.04695615845425819,0.045894244802044966,0.13415448071743483,0.17712966615615028,0.0235,True,False,2000,1.7631765229927991,8.812662877418918,7.608681205085596
6,2022-12-07 12:00:00,0.1553192432240007,0.04503937432293317,0.04411357147609183,0.12784043020442226,0.17034810419548652,0.0225,True,False,2000,1.7599708085100965,8.825103375179626,7.263781284681965
7,2022-12-07 18:00:00,0.13158085835360414,0.04437789043580635,0.0453968054164613,0.12862038999204387,0.1785763588151027,0.0445,True,False,2000,1.7655119779842945,7.452844273751773,7.285160995559557
8,2022-12-08 00:00:00,0.12891436506483728,0.040462835640703035,0.043351874524004665,0.12716032564233468,0.16819003667625562,0.0465,True,False,2000,1.748136694298689,7.374386996467383,7.274049338192537
9,2022-12-08 06:00:00,0.122199057901772,0.04311729679684736,0.045312782385035784,0.1306552041774845,0.17874561255073795,0.0645,False,False,2000,1.7587618640285485,6.948016124358519,7.428817217938248
10,2022-12-08 12:00:00,0.12643615028403574,0.04192239346321925,0.04325645441300827,0.12481126504644215,0.15950449169414394,0.045,True,False,2000,1.7898373154000264,7.064114106693402,6.973330144172738
11,2022-12-08 18:00:00,0.12510813138757948,0.04373514882112903,0.04417933395344116,0.1280553631730057,0.15985409083119648,0.0565,False,False,2000,1.7903276356523354,6.98800202243397,7.152621711407958
