window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.1543611406291175,0.03931816285499714,0.046880165321783136,0.13489332605386806,0.17892062301549586,0.0245,True,False,2000,1.7396119172980316,8.873308988873307,7.754219473466509
1,2022-12-06 06:00:00,0.1547900280042275,0.04109166519726186,0.04858740898825069,0.13826353011580605,0.18643462183896956,0.0295,True,False,2000,1.7462509774153545,8.864134079588831,7.917735302885926
2,2022-12-06 12:00:00,0.14903201510187308,0.04094376727638159,0.048268376580537564,0.14002230181709635,0.17946833609989613,0.0365,True,False,2000,1.7596936145222437,8.469202472064163,7.957197813388234
3,2022-12-06 18:00:00,0.17058241009494585,0.0401445710178806,0.04802737245400461,0.13913479269218,0.18767955847929554,0.0185,True,False,2000,1.7681285426401856,9.64762493117331,7.8690428516256326
4,2022-12-07 00:00:00,0.1696478472687825,0.03949684327491661,0.047046297977063924,0.1315717523348325,0.18731967324983606,0.016,True,False,2000,1.7773587488434404,9.544941187544463,7.402655902779822
5,2022-12-07 06:00:00,0.15516048009430267,0.03945497935352549,0.047177490571978016,0.13375998471229397,0.18547969963355854,0.0285,True,False,2000,1.7631765226613265,8.800053658842083,7.586307042609526
6,2022-12-07 12:00:00,0.16235442502217023,0.03831392579616491,0.04601966684591373,0.1301615981393332,0.1740745644605276,0.0165,True,False,2000,1.7599708082672088,9.224836244983937,7.395668014941946
7,2022-12-07 18:00:00,0.14490418935408092,0.035233204496839296,0.04578388136817248,0.128829997523748,0.18240429407356878,0.0345,True,False,2000,1.7655119781846196,8.207488317529176,7.2970333317260705
8,2022-12-08 00:00:00,0.1534552917978272,0.03500683191193868,0.043710197451863664,0.12366491714461543,0.17361815772640013,0.0185,True,False,2000,1.7481366943815686,8.77822039266297,7.074098812871374
9,2022-12-08 06:00:00,0.14862847076190633,0.034321566534939826,0.044337221518410665,0.12794582590128026,0.17102629488118742,0.0285,True,False,2000,1.758761863945695,8.450744458858445,7.274766898472551
10,2022-12-08 12:00:00,0.12704436636144678,0.033151184708258154,0.04375920021277345,0.12285609233710702,0.1772754181987101,0.0415,True,False,2000,1.7898373147535063,7.098095749497944,6.864092692917545
11,2022-12-08 18:00:00,0.16674875447380255,0.03635554228253499,0.046338714226203566,0.13216108062317952,0.18450963748843982,0.0185,True,False,2000,1.7903276356520663,9.31386809616386,7.381949425980028
12,2022-12-09 00:00:00,0.13082237750711503,0.03555087559161285,0.044597937590168425,0.12670869961903164,0.1788472916253692,0.0435,True,False,2000,1.778097343590281,7.357436193170527,7.126083398965393
13,2022-12-09 06:00:00,0.11720538322844817,0.034200336192128915,0.04287235186571823,0.11991062572238463,0.16990255245291647,0.0545,False,False,2000,1.7602492997718098,6.658453620384459,6.812138811129155
14,2022-12-09 12:00:00,0.13814942835721633,0.03409546577335011,0.04382717623413811,0.12279019086273554,0.17713353149344344,0.03,True,False,2000,1.749408220149487,7.896923471950501,7.018955864529042
15,2022-12-09 18:00:00,0.1562335824579672,0.03394510145770145,0.04283366611482077,0.12027530994711122,0.17178065126089848,0.018,True,False,2000,1.7272572953969645,9.04518295417366,6.963369630433033
16,2022-12-10 00:00:00,0.1768891525870907,0.034019167385959455,0.044102224519507974,0.12453583986115276,0.18168641230546853,0.0135,True,False,2000,1.7088050572758318,10.35162857424395,7.287890408030928
17,2022-12-10 06:00:00,0.15949748621282722,0.03619037912684079,0.04534054172279414,0.1284231094971651,0.1742694246528481,0.0195,True,False,2000,1.7172121674720258,9.288164225369403,7.478581384979452
18,2022-12-10 12:00:00,0.16992456584108853,0.03662709975328766,0.043741170279257675,0.12583961154381498,0.1739597460695381,0.0115,True,False,2000,1.7212894532408642,9.871934410633408,7.310775727282978
19,2022-12-10 18:00:00,0.20213673428094084,0.039307611269146774,0.04661528381608653,0.13114223342692133,0.17726991984380838,0.005,True,True,2000,1.7287298792018573,11.692788833745732,7.586045396951708
20,2022-12-11 00:00:00,0.22103522353859076,0.038656494961171996,0.04563426644904935,0.1301251855471132,0.17511756717333427,0.003,True,True,2000,1.7455190734176544,12.663008207971792,7.454813157230842
21,2022-12-11 06:00:00,0.21059190173910444,0.037047009759406946,0.04414107228155101,0.12117977925086704,0.1759411071321583,0.003,True,True,2000,1.7604099252485141,11.962662713877595,6.883611453949301
22,2022-12-11 12:00:00,0.21517256118239886,0.035503881051342744,0.04466525471189778,0.12699490150464932,0.17320217096927942,0.002,True,True,2000,1.7637074607760277,12.200014229555018,7.200451567448256
23,2022-12-11 18:00:00,0.19469052468796896,0.03475216691995401,0.04279153636931258,0.12175863171544736,0.17923854454610533,0.005,True,True,2000,1.760122243185978,11.061193359818109,6.917623601816053
24,2022-12-12 00:00:00,0.1744642155198557,0.03425723261772391,0.04348037110549869,0.1197364372826736,0.16783572023296794,0.0085,True,True,2000,1.7912484596324094,9.739811056454911,6.684524228830058
25,2022-12-12 06:00:00,0.18191499393353247,0.03339237437622209,0.04252123180228555,0.12124505783516379,0.1686251144559746,0.006,True,True,2000,1.795616946094972,10.131057981444936,6.752278546871712
26,2022-12-12 12:00:00,0.20385340883721884,0.034006917122319125,0.0430473283539406,0.12048557431076372,0.1683651060047235,0.004,True,True,2000,1.7772601581204766,11.470093891757633,6.779287419472792
27,2022-12-12 18:00:00,0.21433265175396218,0.033203793439019975,0.04254160774820619,0.12250971923914837,0.16587702570067017,0.0,True,True,2000,1.793583724055749,11.94996636506611,6.830443296068875
28,2022-12-13 00:00:00,0.24443809128119662,0.035510731041668936,0.044810394995008294,0.13014129011638245,0.1770164541163781,0.001,True,True,2000,1.7785914486111936,13.743352441735013,7.317098607327882
29,2022-12-13 06:00:00,0.24823917541477103,0.034207324450311084,0.043947978847590836,0.12544250030228854,0.17444714198314606,0.001,True,True,2000,1.7838700376286876,13.915765732842136,7.0320425623068505
30,2022-12-13 12:00:00,0.23066313724547433,0.035918126219070035,0.04534083091215833,0.1286307936276509,0.17795425078772825,0.0005,True,True,2000,1.7684639794955064,13.043134602677975,7.273588555891633
31,2022-12-13 18:00:00,0.21965319503794228,0.03748280547549132,0.04590373808293649,0.12880929728996363,0.17851768807435198,0.0035,True,True,2000,1.7829214836098088,12.319846782776962,7.224619730823405
32,2022-12-14 00:00:00,0.21184640021152243,0.03703287212746585,0.0455553159925468,0.13068613580317542,0.1757274693245249,0.004,True,True,2000,1.8088312089166332,11.711783784314735,7.224893907124011
33,2022-12-14 06:00:00,0.2007184181852752,0.03898289447640255,0.045926639992695376,0.13213267998237058,0.17255523422890318,0.002,True,True,2000,1.8230548836704268,11.010004141025147,7.247871754488419
34,2022-12-14 12:00:00,0.20007425782495722,0.03860573029297325,0.04654240377297032,0.13272372724278655,0.1766258223872403,0.007,True,True,2000,1.843397389696964,10.853560873157546,7.1999520008328215
35,2022-12-14 18:00:00,0.2013594274739893,0.037468594905762855,0.04620434609589738,0.13167505425881865,0.17784832614528606,0.0035,True,True,2000,1.8407551186014575,10.938957900438993,7.153317295070777
36,2022-12-15 00:00:00,0.20014718715476862,0.04008775843719057,0.04782633993661852,0.13483878548634684,0.18709879801154364,0.006,True,True,2000,1.8317026253051407,10.926838472015968,7.361390633148448
37,2022-12-15 06:00:00,0.1967870312846412,0.039020594396963364,0.047008856195756475,0.12897285405573297,0.19131746524817272,0.0095,True,True,2000,1.799341191093138,10.936615704611803,7.167782002332711
38,2022-12-15 12:00:00,0.21068042864900402,0.037410402740189044,0.04636169134897974,0.1319576688021522,0.1783098464184947,0.0055,True,True,2000,1.7628489746701872,11.951133175683436,7.485477808831598
39,2022-12-15 18:00:00,0.20938914181495047,0.038759746530513096,0.04678679068540419,0.1347023149235813,0.19275698376513614,0.0045,True,True,2000,1.7800371952253353,11.763189127542015,7.567387652623142
40,2022-12-16 00:00:00,0.19842337111388006,0.03831484740703457,0.04737135251351561,0.13619768161711646,0.18387502624440694,0.0065,True,True,2000,1.7981249742492016,11.035015583203874,7.574428005149373
41,2022-12-16 06:00:00,0.1665634695348598,0.03911443991304988,0.04713168945090011,0.1357017158148496,0.18283361912916987,0.0175,True,False,2000,1.8146430797412674,9.178855687621418,7.478149137415939
42,2022-12-16 12:00:00,0.162974191448066,0.039528149979775704,0.04721480003160672,0.13578268564644688,0.18247028753457228,0.0195,True,False,2000,1.808923833663502,9.009455700409696,7.506268816827659
43,2022-12-16 18:00:00,0.15811682962647974,0.038468211326717336,0.04818302582882507,0.1368555660574977,0.18665440393893193,0.0295,True,False,2000,1.7808010045394251,8.87897239632196,7.685056651958321
44,2022-12-17 00:00:00,0.15421363134026217,0.03950767516955206,0.04782202007838965,0.1343759103699715,0.1890354512885425,0.0295,True,False,2000,1.7750193374820304,8.687997256357967,7.570391349121394
45,2022-12-17 06:00:00,0.1764916911084773,0.03898723938610192,0.048098244354698456,0.13600871995518893,0.18812222157629974,0.0185,True,False,2000,1.7541115537732257,10.06160017182661,7.753709828923021
46,2022-12-17 12:00:00,0.1731545239936604,0.03826043150792293,0.047221926823280365,0.1381108579203931,0.1912084163431255,0.0175,True,False,2000,1.7751834732785565,9.754176207705688,7.7800892132754305
47,2022-12-17 18:00:00,0.14238652905312144,0.03679321079761931,0.046700730998328,0.1314702043307217,0.18620894860480747,0.039,True,False,2000,1.7561828144586382,8.107728186431068,7.486134316332481
48,2022-12-18 00:00:00,0.13841957115173248,0.03599987809536087,0.045086856930089,0.12851292984711096,0.18180737392264232,0.0385,True,False,2000,1.8288258399579989,7.568767245486397,7.0270731657019025
49,2022-12-18 06:00:00,0.113552854280707,0.037950045714251014,0.04621763167284048,0.12917922447917962,0.18229323763398472,0.0785,False,False,2000,1.8027447758127713,6.298886886498475,7.165696787052893
50,2022-12-18 12:00:00,0.09342053798796439,0.036088057926771985,0.0448514944972282,0.12759062889931136,0.1686229467062419,0.126,False,False,2000,1.7782364903659211,5.253549710294188,7.17512150889762
51,2022-12-18 18:00:00,0.1048719599991287,0.03717781973703001,0.04500943497131346,0.12861031300446782,0.1724684200656791,0.1,False,False,2000,1.7534420244979878,5.980919730103631,7.334734265952653
52,2022-12-19 00:00:00,0.11633936508852652,0.03447305291950277,0.043788899495025076,0.12110496885715454,0.16853586321770983,0.06,False,False,2000,1.753349490505138,6.6352638603162495,6.907063851957108
53,2022-12-19 06:00:00,0.14768861152163543,0.035015937392246045,0.044408215575955784,0.12544164445724162,0.16974520049916045,0.026,True,False,2000,1.8035771325867629,8.18864959270217,6.955158290198998
