window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.10552071151237752,0.03930605319299908,0.04531400101749662,0.1301756959432093,0.17391103347290746,0.099,False,False,2000,1.8028594366777801,5.852963873147307,7.220512775144057
1,2022-12-06 06:00:00,0.11022835049872465,0.0390078557713585,0.04512052156728784,0.13018078378223114,0.17030082705712535,0.088,False,False,2000,1.8135288305293271,6.078114041702416,7.178313440114121
2,2022-12-06 12:00:00,0.11512093224093722,0.03714840065220036,0.042974731276448186,0.1231270509086182,0.16531711400937993,0.0645,False,False,2000,1.8245915254480418,6.309408469529554,6.748198114007104
3,2022-12-06 18:00:00,0.10876014788825117,0.03619562791192411,0.04284867469634303,0.12231145910835504,0.16776361455442484,0.08,False,False,2000,1.8198242174100538,5.976409526137473,6.721058986808454
4,2022-12-07 00:00:00,0.1194413147429142,0.03640744000738988,0.04342901027209167,0.12272511400826606,0.1656884633458751,0.0565,False,False,2000,1.8044761675054954,6.6191683156464,6.801149065765776
5,2022-12-07 06:00:00,0.12422735007078357,0.038029394407040853,0.0454953706289343,0.12988525242728413,0.1780257431467963,0.059,False,False,2000,1.8060365432423227,6.878451631314279,7.191728922278896
6,2022-12-07 12:00:00,0.11034593609580447,0.03866205461972704,0.043620235620156045,0.12503222535830366,0.1683366508313514,0.08,False,False,2000,1.7831195671654678,6.188364377113288,7.011993343613007
7,2022-12-07 18:00:00,0.11878213762912575,0.039340278876284246,0.044577275815400656,0.1285505741187498,0.1700774429385323,0.0675,False,False,2000,1.7885595609220517,6.641217895359899,7.1873801089676
8,2022-12-08 00:00:00,0.11758473764384761,0.03687668297361251,0.044413883296850934,0.1255690234762334,0.18051160894532348,0.064,False,False,2000,1.799667297319919,6.533693078657142,6.977346516393998
9,2022-12-08 06:00:00,0.13196698427978684,0.0357847800489237,0.043472811952496825,0.11939211428394232,0.16683430209103367,0.0335,True,False,2000,1.799587827320392,7.333178313185597,6.634414418201451
10,2022-12-08 12:00:00,0.13948834545241776,0.03505703898478498,0.04250037338591814,0.11980567106039818,0.1704191337062712,0.028,True,False,2000,1.8274307453365237,7.633030461394082,6.555962318470011
