window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.0,0.030680081701270432,0.036005931174177816,0.1062799684709529,0.14019755437496056,1.0,False,False,2000,1.8028594370912092,0.0,5.895077912586928
1,2022-12-06 06:00:00,0.0,0.030821060453191215,0.035084266873821573,0.09955913307709964,0.13254777131165718,1.0,False,False,2000,1.8135288308444788,0.0,5.489801506532401
2,2022-12-06 12:00:00,0.0,0.02812290083023747,0.03374361525567501,0.09510074032030473,0.12973530797173802,1.0,False,False,2000,1.8245915257239504,0.0,5.21216606454265
3,2022-12-06 18:00:00,0.0,0.029560769684770206,0.034696323487043434,0.09782560573469538,0.1342079688664369,1.0,False,False,2000,1.8198242175922845,0.0,5.375552473091242
4,2022-12-07 00:00:00,0.0,0.026640998019561848,0.032447524205327136,0.09293140214446101,0.12133237626944797,1.0,False,False,2000,1.804476168461526,0.0,5.1500487381716535
5,2022-12-07 06:00:00,0.0007425050663138725,0.024940782328041127,0.031975902022066766,0.09194116061834941,0.12319492816563568,0.5725,False,False,2000,1.8060365427513707,0.04111240546565674,5.090769673922736
6,2022-12-07 12:00:00,0.0,0.022844260783621652,0.030831867592453557,0.08678068796507224,0.1258981075058013,1.0,False,False,2000,1.7831195670209843,0.0,4.866790178857982
7,2022-12-07 18:00:00,0.0,0.023110728011198463,0.03050745070798072,0.08476910428393004,0.11912028897968686,1.0,False,False,2000,1.788559562009298,0.0,4.739518106330158
8,2022-12-08 00:00:00,0.0049969747870736705,0.02245414460096187,0.03044136664754138,0.0869624437450332,0.11944160350602387,0.5085,False,False,2000,1.7996672981090798,0.2776610316986934,4.832140020347379
9,2022-12-08 06:00:00,0.01082416522087504,0.025352181656053942,0.030866620066555186,0.08833755208792085,0.12099299087415033,0.518,False,False,2000,1.7995878273056076,0.6014802421219574,4.908765815569128
10,2022-12-08 12:00:00,0.013737165600985672,0.02624310137840419,0.03164084568526132,0.0920458777059065,0.11841579087110647,0.494,False,False,2000,1.8274307445252553,0.7517201755601646,5.036901014260812
11,2022-12-08 18:00:00,0.02195865384171576,0.02674975985949097,0.032213111529989596,0.09587228124378654,0.1223393612301018,0.4385,False,False,2000,1.8353271476420072,1.1964435806405314,5.223716184167023
12,2022-12-09 00:00:00,0.008339685153723448,0.027789420891256692,0.03344479120575894,0.09460710638650165,0.12213187753239516,0.5515,False,False,2000,1.791540413040143,0.4655036019852588,5.280768756198959
13,2022-12-09 06:00:00,0.008616997564496671,0.025991916577908118,0.03233467461339763,0.0889194605929829,0.1220147230455836,0.527,False,False,2000,1.8190543970366755,0.47370752510393105,4.888224383934689
14,2022-12-09 12:00:00,0.003973843028653443,0.024418938825150952,0.03177623898377503,0.09043043867790597,0.12498830256937536,0.5445,False,False,2000,1.8078303565128824,0.2198128278097163,5.002152904011243
15,2022-12-09 18:00:00,0.009467972118174867,0.023412715200131627,0.03065638852072752,0.08636311373068838,0.11897620286900082,0.489,False,False,2000,1.8102428338052208,0.5230222123444466,4.770802685579415
16,2022-12-10 00:00:00,0.014174933933220368,0.024315806728578457,0.031089389858281632,0.08776959572698408,0.12170774815477364,0.4645,False,False,2000,1.8304812628499414,0.7743829025133483,4.794891786563959
17,2022-12-10 06:00:00,0.01103807459068765,0.02512234701019358,0.031548093596888656,0.08941688842118342,0.12366324010258367,0.506,False,False,2000,1.8344032354706394,0.6017256390117351,4.874440182626607
18,2022-12-10 12:00:00,0.01041087456294042,0.02584674292915826,0.03239044165847,0.09238318961532054,0.132217688782835,0.526,False,False,2000,1.821693421079761,0.5714943273369043,5.071280850350924
19,2022-12-10 18:00:00,0.026409733862552534,0.024896879358565712,0.031073897289223485,0.08790578388060433,0.11674570271578356,0.3785,False,False,2000,1.8317471305636217,1.441778366778517,4.799013052285009
20,2022-12-11 00:00:00,0.018118873120977787,0.022861050605784344,0.029143681638461264,0.08227214817672844,0.11234645503081014,0.4245,False,False,2000,1.8372020987054585,0.9862210114905066,4.478121826373896
21,2022-12-11 06:00:00,0.034387482627695816,0.022976685938586008,0.030161993748327787,0.08438830669393611,0.12371152118870792,0.29,False,False,2000,1.8784685544789776,1.830612631002158,4.4923992202436684
22,2022-12-11 12:00:00,0.056603216445891544,0.020995344057875776,0.02829763734758733,0.08030525379363274,0.10908993364285147,0.137,False,False,2000,1.8655884615288236,3.0340676742557684,4.3045535202240535
23,2022-12-11 18:00:00,0.05286923042611914,0.022038177031054096,0.029292404092015664,0.08101375164847376,0.11167917042566661,0.163,False,False,2000,1.888728500160902,2.799196942367057,4.28932753657141
24,2022-12-12 00:00:00,0.05180034485478073,0.022057764399283676,0.029071559943872755,0.08127826137920388,0.11281885856230256,0.1665,False,False,2000,1.9034414085299876,2.7214047473510474,4.270068992665996
25,2022-12-12 06:00:00,0.03841360294578999,0.021598819918294012,0.028277635812832505,0.08031359082611553,0.10899842822808627,0.2445,False,False,2000,1.924874908489215,1.9956415233205904,4.172405722154257
26,2022-12-12 12:00:00,0.04335055085522265,0.022638815021646334,0.029388661227753157,0.08304515495513119,0.11274394523230023,0.225,False,False,2000,1.9499759704290196,2.223132567407227,4.258778375451478
27,2022-12-12 18:00:00,0.044159396728573344,0.02377131276449567,0.0304188827892721,0.08598033034489963,0.11852530106040876,0.228,False,False,2000,1.9489510773043592,2.265803243745413,4.411620760836186
28,2022-12-13 00:00:00,0.03394606709015471,0.025925232133433555,0.03189379997161706,0.08859298280158777,0.12812032603617218,0.334,False,False,2000,1.9715196708766127,1.7218223886683819,4.493639303238398
29,2022-12-13 06:00:00,0.04399016070501106,0.02629058858294139,0.031454747765249376,0.08956398527295857,0.12226024337797237,0.2575,False,False,2000,2.0009362665003705,2.198478854199073,4.476103850604178
30,2022-12-13 12:00:00,0.03323269416078361,0.02259254407805735,0.029146751853555832,0.08070607415399407,0.11139662441219317,0.2915,False,False,2000,1.9998312945878627,1.6617748832474595,4.035644125202395
31,2022-12-13 18:00:00,0.035068117241879256,0.026566964700119176,0.03258908545330404,0.09221700545797311,0.12314416803287433,0.329,False,False,2000,2.022441051493335,1.7339500311262757,4.559688174341679
32,2022-12-14 00:00:00,0.04614291283378087,0.024209477959317646,0.031324702290734203,0.0871095989894696,0.12086398690316245,0.2225,False,False,2000,2.0144521485214093,2.2905936419313497,4.32423272269869
33,2022-12-14 06:00:00,0.04102743306869815,0.025056360590669954,0.031189871428535926,0.08972076531639085,0.11707285808413939,0.2585,False,False,2000,1.9941790053657273,2.05735959301075,4.499132980288111
34,2022-12-14 12:00:00,0.03793933751264828,0.026489532828449593,0.03255284982820529,0.092759617618495,0.12601095206535853,0.3045,False,False,2000,2.000543491881047,1.8964515226297398,4.6367208708507555
35,2022-12-14 18:00:00,0.06005733461970854,0.02594451663809375,0.0318816131950458,0.08993960484312122,0.1217254113026947,0.1655,False,False,2000,2.0015713117749225,3.000509363138894,4.493449936758235
36,2022-12-15 00:00:00,0.0599621664803737,0.024991323027866434,0.031991826902363116,0.09298542388201399,0.1204836596839031,0.156,False,False,2000,2.025400053720099,2.960509770414976,4.590965805062833
37,2022-12-15 06:00:00,0.05111916090072523,0.027124056055119347,0.032646905657453415,0.09268058172866697,0.1278517171408696,0.2255,False,False,2000,2.036960614159574,2.509580231712845,4.549944710978415
38,2022-12-15 12:00:00,0.05332549885211701,0.02702389768720105,0.032800217030578026,0.09302470278811513,0.13119302472511288,0.2005,False,False,2000,2.011400413516671,2.6511627666857405,4.624872410435353
39,2022-12-15 18:00:00,0.06822951421012009,0.027519798294339176,0.033212597583271934,0.09596397973129328,0.12473837869917133,0.133,False,False,2000,2.007211672037328,3.3992186853351076,4.780959630126575
40,2022-12-16 00:00:00,0.06915513203464349,0.025493082780838974,0.03214882750757899,0.08856553722284173,0.13344376001268485,0.1115,False,False,2000,2.0161369159542777,3.4300811362263555,4.392833468897716
41,2022-12-16 06:00:00,0.04310532159778863,0.025632897585789034,0.03107330821657347,0.089637233448358,0.1171387291588386,0.258,False,False,2000,2.0074469882604973,2.1472707299304807,4.465235394635795
42,2022-12-16 12:00:00,0.03540519516760467,0.025167856393057342,0.031195614579727967,0.08741054303058422,0.12366088510625291,0.31,False,False,2000,1.9922525963789637,1.7771438838606959,4.387523107735336
43,2022-12-16 18:00:00,0.03090500029629206,0.02563510257664398,0.03153392962350268,0.0885813234260122,0.1265995930354715,0.3475,False,False,2000,1.9697613257745716,1.5689718288148056,4.497058718074854
44,2022-12-17 00:00:00,0.04291588927188277,0.026730045280341803,0.0319862088255106,0.09145932564482549,0.12109566012732309,0.27,False,False,2000,1.974644917698775,2.173347161670787,4.631684655052362
45,2022-12-17 06:00:00,0.04324273830879007,0.026576159808704806,0.03154474828986354,0.09005558863746331,0.12055873134812453,0.261,False,False,2000,1.9240669038617735,2.24746541931562,4.680481144221842
46,2022-12-17 12:00:00,0.049322259973303195,0.026118276514014337,0.03208012013168138,0.09117575741700285,0.12222905731658053,0.2205,False,False,2000,1.910745989488557,2.581309093130957,4.771736165800225
47,2022-12-17 18:00:00,0.060483537800448364,0.025802630974352644,0.031233852234526096,0.08985743378481349,0.11906119494614059,0.155,False,False,2000,1.9390300187413911,3.1192677377788995,4.634143510740449
48,2022-12-18 00:00:00,0.08676554308310594,0.026216774901125228,0.03093152533288422,0.08770852068848238,0.11824630251132838,0.0535,False,False,2000,1.9232795593365086,4.511332877319106,4.56036254650052
49,2022-12-18 06:00:00,0.08240174293985959,0.02771357390579022,0.03332305331812142,0.0931930919433876,0.1281774895130563,0.0795,False,False,2000,1.9288517269842729,4.2720620661025785,4.831532182574418
50,2022-12-18 12:00:00,0.10893018178765297,0.028147807944952655,0.03314168785358719,0.09533658748679381,0.13317955723993452,0.0305,True,False,2000,1.9354977513623641,5.628019030814108,4.925688362060251
51,2022-12-18 18:00:00,0.11289100173718031,0.02882920416738482,0.03255706210400293,0.09298590497252258,0.12002552644827316,0.0165,True,False,2000,1.927111298766085,5.858042647015955,4.825144506809792
52,2022-12-19 00:00:00,0.1082545682353977,0.028680602360793905,0.033137951732027104,0.09567893288668051,0.1304045946415417,0.026,True,False,2000,1.8517884076816282,5.845946965988867,5.166839391033183
53,2022-12-19 06:00:00,0.10365735311101558,0.028724069333728737,0.03350894047577006,0.09639197045058062,0.12804457128445085,0.0345,True,False,2000,1.8338953010633388,5.652304853549296,5.256132691691294
54,2022-12-19 12:00:00,0.10613847096412808,0.028966232607413565,0.03309613589711952,0.09460604346232508,0.13131255877910383,0.0265,True,False,2000,1.8188014236777152,5.835627220343293,5.2015597871606305
55,2022-12-19 18:00:00,0.1154739627141305,0.028863052712336926,0.03385444456034418,0.09571694009861798,0.13319597267920893,0.021,True,False,2000,1.8106534174324065,6.377474650995227,5.286320351376201
56,2022-12-20 00:00:00,0.10976794089476667,0.02620680515914169,0.031197765339358814,0.09172358474094437,0.11594367561569023,0.0185,True,False,2000,1.8470942297296273,5.942736387132464,4.965831372575432
57,2022-12-20 06:00:00,0.10306188476392142,0.026749939797317875,0.03099434858956494,0.08714557901996912,0.123425548058172,0.0255,True,False,2000,1.8134752148898339,5.683115154688358,4.805446377455072
58,2022-12-20 12:00:00,0.10758195214307884,0.024678649459078276,0.03054685066620645,0.08583560650357502,0.12047729773856636,0.02,True,False,2000,1.7829835837039147,6.033816190252937,4.814155738061412
59,2022-12-20 18:00:00,0.09738020603438463,0.025845130858455224,0.03138669588678114,0.08903924616954959,0.11785281405519334,0.031,True,False,2000,1.7729242807673948,5.492631980438243,5.0221685796423134
60,2022-12-21 00:00:00,0.08270892843980253,0.024593554740456564,0.030078379545090322,0.0855609616849321,0.11166289067062014,0.06,False,False,2000,1.8195506707545925,4.545568846703346,4.702312667635071
61,2022-12-21 06:00:00,0.07684839115304389,0.02623592100981674,0.031120873169132313,0.08725451683773361,0.11676378070691282,0.0775,False,False,2000,1.823931532011444,4.213337496736786,4.783870189551948
62,2022-12-21 12:00:00,0.09168577904890506,0.023269586626523446,0.02979880177846452,0.0862802102420825,0.118788387798774,0.04,True,False,2000,1.7620285999522587,5.203421729442373,4.896640738091325
63,2022-12-21 18:00:00,0.0922472139406496,0.022218978102684906,0.02889118241472496,0.08364271205840293,0.11158060937452338,0.0335,True,False,2000,1.7383730062654301,5.306525907165661,4.811551476980978
64,2022-12-22 00:00:00,0.10098162991740556,0.02403262117163611,0.030751815590966625,0.08660134456708045,0.11969635179453285,0.0245,True,False,2000,1.7809387026304924,5.670135067998302,4.862679689040843
65,2022-12-22 06:00:00,0.09205847164956786,0.02667224442049563,0.03192350704369123,0.09155646656997078,0.12016318619756444,0.049,True,False,2000,1.766809546531411,5.210435489795516,5.182022405850922
66,2022-12-22 12:00:00,0.09664595310629927,0.02550958252364793,0.031683604523433835,0.09196958434054835,0.11979135568136366,0.0405,True,False,2000,1.7783087504474047,5.434711665338435,5.17174446323844
67,2022-12-22 18:00:00,0.11028380553593747,0.027447875112447815,0.03300634836542128,0.09407089686554139,0.12456327332221473,0.025,True,False,2000,1.802125592792211,6.1196514813966925,5.219996721748347
68,2022-12-23 00:00:00,0.12087517399759704,0.028178501508561184,0.03321829618136499,0.09517036613536582,0.12332052509194212,0.0135,True,False,2000,1.8048636856455682,6.697191314720374,5.272994680555337
69,2022-12-23 06:00:00,0.12720832935969248,0.028059087082010374,0.03298047489439132,0.09314129241109202,0.12887205998098267,0.011,True,False,2000,1.787702023363749,7.115745672219839,5.210112826064654
