window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.006430619751863781,0.03656609165748186,0.04588356750690511,0.12577665776290303,0.17607544459633834,0.556,False,False,2000,1.8028594381080227,0.356690023411491,6.976509377508487
1,2022-12-06 06:00:00,0.006229952794990781,0.03559793910027359,0.04489604894775357,0.12798426902406376,0.17052171871291325,0.5545,False,False,2000,1.813528830628803,0.3435265373107234,7.057195169027884
2,2022-12-06 12:00:00,0.0073856989775124065,0.032397716221332896,0.04298489521602808,0.121294160111813,0.1689409260778149,0.5245,False,False,2000,1.8245915255911702,0.40478643432915373,6.647743257083995
3,2022-12-06 18:00:00,0.014363780787465147,0.03399303105567653,0.043559677830167426,0.12300288040576943,0.17603812592852774,0.493,False,False,2000,1.8198242172590686,0.7892949577898891,6.759052838137874
4,2022-12-07 00:00:00,0.020438644954991526,0.03221848758679379,0.04249168246406057,0.12125487983314691,0.1698249035014831,0.4415,False,False,2000,1.8044761680175947,1.1326636127007157,6.719672001340868
5,2022-12-07 06:00:00,0.029203809621935417,0.03323570604900616,0.04277784452901661,0.12268095753129275,0.16750064554547164,0.401,False,False,2000,1.8060365430629628,1.6170110031332463,6.792828085484414
6,2022-12-07 12:00:00,0.02279046122657745,0.03307429894188511,0.04349832521933339,0.12211262882598196,0.1741587437259672,0.4365,False,False,2000,1.783119567321401,1.2781229954653706,6.848258022843602
7,2022-12-07 18:00:00,0.018353175898467553,0.035172340402722484,0.04528623475115691,0.12876244653917404,0.1819729322288282,0.4845,False,False,2000,1.7885595618083105,1.0261428408854163,7.199226086101918
8,2022-12-08 00:00:00,0.005878328175443831,0.03654877625985095,0.04329616682562577,0.12113034609071069,0.16115654734916843,0.587,False,False,2000,1.799667297555108,0.326634160849046,6.730707739995566
9,2022-12-08 06:00:00,0.003952612393226911,0.03637912226073356,0.04449207735763714,0.12491810385739312,0.16884940030369328,0.5985,False,False,2000,1.799587827173718,0.2196398716162997,6.941484153823102
10,2022-12-08 12:00:00,0.0,0.03769782884191825,0.04599325122029455,0.12949684759917646,0.1798342367568458,1.0,False,False,2000,1.8274307447252407,0.0,7.086279355480947
11,2022-12-08 18:00:00,0.016624945654999838,0.03718647349783872,0.04644074016097694,0.13209483099571112,0.17974873102836827,0.5045,False,False,2000,1.8353271471124393,0.9058300958036953,7.19734523643585
