window_idx,timestamp,te_bits,surr_mean,surr_std,surr_p95,surr_p99,p_value,sig95,sig99,n_valid_surrogates,h_target_bits,pct_h,surr_p95_pct
0,2022-12-06 00:00:00,0.02311032409513931,0.07069866674758606,0.0704045576945868,0.21113626271798502,0.2619274230923709,0.645,False,False,2000,1.6501821425089718,1.4004711055715273,12.794724732444928
1,2022-12-06 06:00:00,0.04551247197536735,0.07158562505204591,0.07139730025457497,0.20991758637298438,0.27168966435187186,0.543,False,False,2000,1.6370107165021666,2.7802183282351844,12.823226155875112
2,2022-12-06 12:00:00,0.060240232463947066,0.06773199473047083,0.06750050072551508,0.19587725093402072,0.24850768947247207,0.469,False,False,2000,1.6347219897343352,3.685044481094729,11.982297428191655
3,2022-12-06 18:00:00,0.06405725156676877,0.06173426720777144,0.0649579238579924,0.19288545981308228,0.2519936345137239,0.4105,False,False,2000,1.6457100123129578,3.8923778240092077,11.72050108281179
4,2022-12-07 00:00:00,0.07434243219024157,0.062040581111584545,0.06640310853938751,0.1909247283815995,0.2586238006236056,0.367,False,False,2000,1.550648113697324,4.794281277199729,12.312576057398585
5,2022-12-07 06:00:00,0.07080152183243107,0.06034303887302542,0.065777227650617,0.19538357810694623,0.243726799059843,0.3565,False,False,2000,1.5450389492141208,4.582507248017537,12.645867484850623
6,2022-12-07 12:00:00,0.08129850334913877,0.059558216658955485,0.0653198692381883,0.18469974254331,0.260576061376435,0.3125,False,False,2000,1.5824048151058558,5.137655205106303,11.672091792197588
7,2022-12-07 18:00:00,0.06692913070930907,0.05629985538451163,0.06293742435114581,0.17794159139828897,0.24932178360500756,0.359,False,False,2000,1.5827030916196576,4.228786249530682,11.242891502549137
8,2022-12-08 00:00:00,0.06872097262033727,0.058697605517425006,0.06374293316267875,0.18537237363673797,0.25601228222889344,0.3615,False,False,2000,1.5670737952309173,4.385305454629904,11.82920512109146
9,2022-12-08 06:00:00,0.04956066997950466,0.05850700004284425,0.06490707136278083,0.1927906934176148,0.25659744932307144,0.4525,False,False,2000,1.541752786727943,3.2145665898024487,12.504643745562728
10,2022-12-08 12:00:00,0.023277470941869684,0.059440796536071504,0.06540993446081556,0.1889761823731729,0.24948844976351484,0.5775,False,False,2000,1.5613763038256117,1.4908302940704496,12.10317986190467
11,2022-12-08 18:00:00,0.02425372490621803,0.05489536091317339,0.061463624571945444,0.17542698479439892,0.2462924580901195,0.559,False,False,2000,1.5650538617174747,1.549705444616598,11.209006225631562
12,2022-12-09 00:00:00,0.023580846188130507,0.05810879809219087,0.0645375954400751,0.18483201893215176,0.25465763109235795,0.572,False,False,2000,1.5009344666877822,1.5710776660468075,12.314462958534998
13,2022-12-09 06:00:00,0.060857874063297845,0.055445642760741834,0.06207289580052639,0.17947972286830147,0.23896981886084273,0.3865,False,False,2000,1.4880357868738505,4.089812530056921,12.061519249168233
14,2022-12-09 12:00:00,0.04703461367028763,0.05257682603104895,0.06064136447299073,0.17221592251340317,0.24510092630183813,0.4275,False,False,2000,1.4909007952213922,3.154778226763451,11.551132246047926
15,2022-12-09 18:00:00,0.0658840932956947,0.049110496010076075,0.05926526842095057,0.16913905723883144,0.23833230436618605,0.316,False,False,2000,1.5090410482731007,4.365957663715668,11.208380145284243
16,2022-12-10 00:00:00,0.08129701156503917,0.05155496992083651,0.05958319697126749,0.16997644945744575,0.23910936585918,0.267,False,False,2000,1.5006688839822824,5.41738503628486,11.326712459472343
